Year,Term,College or Institution Type,College or Institution Name,Undergraduate Full-Time,Undergraduate Part-Time,Graduate Full-Time,Graduate Part-Time
2011,Fall,Doctoral Degree Granting Institutions,Albany,11925,830,2117,2242
2011,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,629,17,71,14
2011,Fall,Doctoral Degree Granting Institutions,Binghamton,11464,397,1566,1319
2011,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,17664,1670,6048,3478
2011,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5608,,1840,
2011,Fall,Doctoral Degree Granting Institutions,Downstate Medical,184,165,1037,365
2011,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1628,539,319,194
2011,Fall,Doctoral Degree Granting Institutions,Optometry,,,315,2
2011,Fall,Doctoral Degree Granting Institutions,Stony Brook,14485,1300,5137,2998
2011,Fall,Doctoral Degree Granting Institutions,Upstate Medical,213,83,1040,253
2011,Fall,Comprehensive Colleges,Brockport,6454,712,365,882
2011,Fall,Comprehensive Colleges,Buffalo State,8811,1201,511,1681
2011,Fall,Comprehensive Colleges,Cortland,6241,130,370,590
2011,Fall,Comprehensive Colleges,Empire State,4346,6644,86,751
2011,Fall,Comprehensive Colleges,Fredonia,5237,150,182,151
2011,Fall,Comprehensive Colleges,Geneseo,5352,124,93,95
2011,Fall,Comprehensive Colleges,New Paltz,6194,505,525,633
2011,Fall,Comprehensive Colleges,Old Westbury,3561,669,131,98
2011,Fall,Comprehensive Colleges,Oneonta,5738,114,92,79
2011,Fall,Comprehensive Colleges,Oswego,6992,387,372,465
2011,Fall,Comprehensive Colleges,Plattsburgh,5438,384,313,215
2011,Fall,Comprehensive Colleges,Potsdam,3827,125,298,145
2011,Fall,Comprehensive Colleges,Purchase,3733,471,109,11
2011,Fall,Technology Colleges,Alfred State,3277,339,,
2011,Fall,Technology Colleges,Canton,2952,873,,
2011,Fall,Technology Colleges,Cobleskill,2364,152,,
2011,Fall,Technology Colleges,Delhi,2607,642,,
2011,Fall,Technology Colleges,Farmingdale,5377,2256,,
2011,Fall,Technology Colleges,Maritime,1565,96,102,60
2011,Fall,Technology Colleges,Morrisville,2861,369,,
2011,Fall,Technology Colleges,SUNYIT,1353,511,151,493
2011,Fall,Community Colleges,Adirondack,2344,1754,,
2011,Fall,Community Colleges,Broome,4376,1824,,
2011,Fall,Community Colleges,Cayuga County,2378,2054,,
2011,Fall,Community Colleges,Clinton,1361,973,,
2011,Fall,Community Colleges,Columbia-Greene,1041,1061,,
2011,Fall,Community Colleges,Corning,2468,2833,,
2011,Fall,Community Colleges,Dutchess,5095,5221,,
2011,Fall,Community Colleges,Erie,9356,4820,,
2011,Fall,Community Colleges,Fashion Institute,7141,2882,111,89
2011,Fall,Community Colleges,Finger Lakes,3819,2992,,
2011,Fall,Community Colleges,Fulton-Montgomery,1827,1015,,
2011,Fall,Community Colleges,Genesee,3611,3589,,
2011,Fall,Community Colleges,Herkimer County,2470,1209,,
2011,Fall,Community Colleges,Hudson Valley,7643,5951,,
2011,Fall,Community Colleges,Jamestown,2954,2503,,
2011,Fall,Community Colleges,Jefferson,2237,1578,,
2011,Fall,Community Colleges,Mohawk Valley,4904,2739,,
2011,Fall,Community Colleges,Monroe,10992,6707,,
2011,Fall,Community Colleges,Nassau,14940,8610,,
2011,Fall,Community Colleges,Niagara County,4387,2770,,
2011,Fall,Community Colleges,North Country,1124,1330,,
2011,Fall,Community Colleges,Onondaga,6818,5928,,
2011,Fall,Community Colleges,Orange County,3638,3666,,
2011,Fall,Community Colleges,Rockland,4754,3292,,
2011,Fall,Community Colleges,Schenectady County,2668,4091,,
2011,Fall,Community Colleges,Suffolk County,15064,11725,,
2011,Fall,Community Colleges,Sullivan County,1134,570,,
2011,Fall,Community Colleges,Tompkins Cortland,2930,2732,,
2011,Fall,Community Colleges,Ulster County,1638,1967,,
2011,Fall,Community Colleges,Westchester,7410,6559,,
2012,Fall,Doctoral Degree Granting Institutions,Albany,12064,814,2179,2255
2012,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,609,12,63,17
2012,Fall,Doctoral Degree Granting Institutions,Binghamton,11904,452,1682,1270
2012,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,17766,1893,6270,3200
2012,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5653,,1875,
2012,Fall,Doctoral Degree Granting Institutions,Downstate Medical,213,139,1071,376
2012,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1661,43,323,228
2012,Fall,Doctoral Degree Granting Institutions,Optometry,,,334,2
2012,Fall,Doctoral Degree Granting Institutions,Stony Brook,14445,1271,5237,2872
2012,Fall,Doctoral Degree Granting Institutions,Upstate Medical,211,91,1058,275
2012,Fall,Comprehensive Colleges,Brockport,6444,689,367,771
2012,Fall,Comprehensive Colleges,Buffalo State,8606,1141,516,1518
2012,Fall,Comprehensive Colleges,Cortland,6228,117,250,503
2012,Fall,Comprehensive Colleges,Empire State,4341,6777,87,823
2012,Fall,Comprehensive Colleges,Fredonia,5074,157,175,115
2012,Fall,Comprehensive Colleges,Geneseo,5260,116,70,93
2012,Fall,Comprehensive Colleges,New Paltz,6091,482,498,584
2012,Fall,Comprehensive Colleges,Old Westbury,3610,607,106,99
2012,Fall,Comprehensive Colleges,Oneonta,5709,128,116,88
2012,Fall,Comprehensive Colleges,Oswego,6815,336,331,439
2012,Fall,Comprehensive Colleges,Plattsburgh,5318,388,296,165
2012,Fall,Comprehensive Colleges,Potsdam,3762,106,230,126
2012,Fall,Comprehensive Colleges,Purchase,3721,407,101,11
2012,Fall,Technology Colleges,Alfred State,3212,316,,
2012,Fall,Technology Colleges,Canton,3087,693,,
2012,Fall,Technology Colleges,Cobleskill,2332,160,,
2012,Fall,Technology Colleges,Delhi,2605,546,,
2012,Fall,Technology Colleges,Farmingdale,5787,2102,,
2012,Fall,Technology Colleges,Maritime,1519,95,88,59
2012,Fall,Technology Colleges,Morrisville,2708,387,,
2012,Fall,Technology Colleges,SUNYIT,1272,421,171,513
2012,Fall,Community Colleges,Adirondack,2263,1724,,
2012,Fall,Community Colleges,Broome,4113,1839,,
2012,Fall,Community Colleges,Cayuga County,2241,2073,,
2012,Fall,Community Colleges,Clinton,1267,982,,
2012,Fall,Community Colleges,Columbia-Greene,1023,1103,,
2012,Fall,Community Colleges,Corning,2294,2672,,
2012,Fall,Community Colleges,Dutchess,5052,5426,,
2012,Fall,Community Colleges,Erie,9193,4797,,
2012,Fall,Community Colleges,Fashion Institute,7154,2694,116,88
2012,Fall,Community Colleges,Finger Lakes,3610,2929,,
2012,Fall,Community Colleges,Fulton-Montgomery,1719,964,,
2012,Fall,Community Colleges,Genesee,3469,3496,,
2012,Fall,Community Colleges,Herkimer County,2242,1221,,
2012,Fall,Community Colleges,Hudson Valley,7175,5939,,
2012,Fall,Community Colleges,Jamestown,2772,2285,,
2012,Fall,Community Colleges,Jefferson,2254,1587,,
2012,Fall,Community Colleges,Mohawk Valley,4601,2850,,
2012,Fall,Community Colleges,Monroe,10554,6742,,
2012,Fall,Community Colleges,Nassau,14560,8780,,
2012,Fall,Community Colleges,Niagara County,4207,2528,,
2012,Fall,Community Colleges,North Country,1023,1304,,
2012,Fall,Community Colleges,Onondaga,6719,6299,,
2012,Fall,Community Colleges,Orange County,3462,3795,,
2012,Fall,Community Colleges,Rockland,4709,3465,,
2012,Fall,Community Colleges,Schenectady County,2730,3941,,
2012,Fall,Community Colleges,Suffolk County,14843,11376,,
2012,Fall,Community Colleges,Sullivan County,1040,575,,
2012,Fall,Community Colleges,Tompkins Cortland,2686,2764,,
2012,Fall,Community Colleges,Ulster County,1567,2114,,
2012,Fall,Community Colleges,Westchester,7618,6379,,
2013,Fall,Doctoral Degree Granting Institutions,Albany,12055,767,2343,2173
2013,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,593,18,71,21
2013,Fall,Doctoral Degree Granting Institutions,Binghamton,12559,438,1824,1256
2013,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,18091,1740,6725,3294
2013,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5741,,2042,
2013,Fall,Doctoral Degree Granting Institutions,Downstate Medical,235,123,1132,375
2013,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1647,55,319,208
2013,Fall,Doctoral Degree Granting Institutions,Optometry,,,340,3
2013,Fall,Doctoral Degree Granting Institutions,Stony Brook,14754,1099,5152,2995
2013,Fall,Doctoral Degree Granting Institutions,Upstate Medical,209,77,1063,268
2013,Fall,Comprehensive Colleges,Brockport,6411,679,318,720
2013,Fall,Comprehensive Colleges,Buffalo State,8293,1062,506,1230
2013,Fall,Comprehensive Colleges,Cortland,6281,119,256,454
2013,Fall,Comprehensive Colleges,Empire State,4218,6609,91,905
2013,Fall,Comprehensive Colleges,Fredonia,4945,147,204,95
2013,Fall,Comprehensive Colleges,Geneseo,5358,125,65,68
2013,Fall,Comprehensive Colleges,New Paltz,6060,510,478,530
2013,Fall,Comprehensive Colleges,Old Westbury,3558,603,99,107
2013,Fall,Comprehensive Colleges,Oneonta,5675,125,133,101
2013,Fall,Comprehensive Colleges,Oswego,6954,374,352,437
2013,Fall,Comprehensive Colleges,Plattsburgh,5186,453,272,140
2013,Fall,Comprehensive Colleges,Potsdam,3596,111,221,114
2013,Fall,Comprehensive Colleges,Purchase,3847,392,102,12
2013,Fall,Technology Colleges,Alfred State,3222,333,,
2013,Fall,Technology Colleges,Canton,2938,574,,
2013,Fall,Technology Colleges,Cobleskill,2267,186,,
2013,Fall,Technology Colleges,Delhi,2590,718,,
2013,Fall,Technology Colleges,Farmingdale,6074,2088,,
2013,Fall,Technology Colleges,Maritime,1517,84,95,59
2013,Fall,Technology Colleges,Morrisville,2668,360,,
2013,Fall,Technology Colleges,SUNYIT,1425,379,195,481
2013,Fall,Community Colleges,Adirondack,2588,1642,,
2013,Fall,Community Colleges,Broome,4192,1702,,
2013,Fall,Community Colleges,Cayuga County,2235,2175,,
2013,Fall,Community Colleges,Clinton,1092,898,,
2013,Fall,Community Colleges,Columbia-Greene,964,1154,,
2013,Fall,Community Colleges,Corning,2375,2554,,
2013,Fall,Community Colleges,Dutchess,4893,5339,,
2013,Fall,Community Colleges,Erie,9039,4610,,
2013,Fall,Community Colleges,Fashion Institute,7257,2309,120,69
2013,Fall,Community Colleges,Finger Lakes,3404,2985,,
2013,Fall,Community Colleges,Fulton-Montgomery,1724,1057,,
2013,Fall,Community Colleges,Genesee,3326,3761,,
2013,Fall,Community Colleges,Herkimer County,2081,1134,,
2013,Fall,Community Colleges,Hudson Valley,6832,6009,,
2013,Fall,Community Colleges,Jamestown,2764,2414,,
2013,Fall,Community Colleges,Jefferson,2234,1697,,
2013,Fall,Community Colleges,Mohawk Valley,4616,2817,,
2013,Fall,Community Colleges,Monroe,10260,6198,,
2013,Fall,Community Colleges,Nassau,14209,9109,,
2013,Fall,Community Colleges,Niagara County,4178,2452,,
2013,Fall,Community Colleges,North Country,951,1137,,
2013,Fall,Community Colleges,Onondaga,6540,6294,,
2013,Fall,Community Colleges,Orange County,3338,3691,,
2013,Fall,Community Colleges,Rockland,4483,3163,,
2013,Fall,Community Colleges,Schenectady County,2747,3827,,
2013,Fall,Community Colleges,Suffolk County,14831,11880,,
2013,Fall,Community Colleges,Sullivan County,1020,535,,
2013,Fall,Community Colleges,Tompkins Cortland,2587,2903,,
2013,Fall,Community Colleges,Ulster County,1654,1961,,
2013,Fall,Community Colleges,Westchester,7640,6141,,
2014,Fall,Doctoral Degree Granting Institutions,Albany,12191,738,2218,2126
2014,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,539,16,77,13
2014,Fall,Doctoral Degree Granting Institutions,Binghamton,12908,504,1944,1339
2014,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,18166,1716,6422,3691
2014,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5749,,1918,
2014,Fall,Doctoral Degree Granting Institutions,Downstate Medical,216,128,1149,372
2014,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1671,57,285,187
2014,Fall,Doctoral Degree Granting Institutions,Optometry,,,363,
2014,Fall,Doctoral Degree Granting Institutions,Stony Brook,15189,1095,5284,2883
2014,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1646,389,194,509
2014,Fall,Doctoral Degree Granting Institutions,Upstate Medical,174,61,1066,215
2014,Fall,Comprehensive Colleges,Brockport,6304,736,358,708
2014,Fall,Comprehensive Colleges,Buffalo State,8326,1149,514,1094
2014,Fall,Comprehensive Colleges,Cortland,6203,114,227,414
2014,Fall,Comprehensive Colleges,Empire State,4249,6624,73,1006
2014,Fall,Comprehensive Colleges,Fredonia,4806,130,189,90
2014,Fall,Comprehensive Colleges,Geneseo,5422,98,46,59
2014,Fall,Comprehensive Colleges,New Paltz,6097,545,484,566
2014,Fall,Comprehensive Colleges,Old Westbury,3670,645,118,71
2014,Fall,Comprehensive Colleges,Oneonta,5727,109,121,144
2014,Fall,Comprehensive Colleges,Oswego,6880,313,332,509
2014,Fall,Comprehensive Colleges,Plattsburgh,5143,422,248,155
2014,Fall,Comprehensive Colleges,Potsdam,3573,108,194,104
2014,Fall,Comprehensive Colleges,Purchase,3746,378,87,14
2014,Fall,Technology Colleges,Alfred State,3329,332,,
2014,Fall,Technology Colleges,Canton,2793,489,,
2014,Fall,Technology Colleges,Cobleskill,2413,122,,
2014,Fall,Technology Colleges,Delhi,2654,942,,0
2014,Fall,Technology Colleges,Farmingdale,6287,2107,,
2014,Fall,Technology Colleges,Maritime,1591,50,97,61
2014,Fall,Technology Colleges,Morrisville,2505,405,,
2014,Fall,Community Colleges,Adirondack,2522,1725,,
2014,Fall,Community Colleges,Broome,4337,1607,,
2014,Fall,Community Colleges,Cayuga County,2029,2261,,
2014,Fall,Community Colleges,Clinton,990,880,,
2014,Fall,Community Colleges,Columbia-Greene,852,1191,,
2014,Fall,Community Colleges,Corning,2114,2406,,
2014,Fall,Community Colleges,Dutchess,4666,5239,,
2014,Fall,Community Colleges,Erie,8424,4309,,
2014,Fall,Community Colleges,Fashion Institute,7454,2113,124,73
2014,Fall,Community Colleges,Finger Lakes,3318,3475,,
2014,Fall,Community Colleges,Fulton-Montgomery,1523,1066,,
2014,Fall,Community Colleges,Genesee,3178,3705,,
2014,Fall,Community Colleges,Herkimer County,1842,1417,,
2014,Fall,Community Colleges,Hudson Valley,6422,5755,,
2014,Fall,Community Colleges,Jamestown,2551,2514,,
2014,Fall,Community Colleges,Jefferson,2153,1727,,
2014,Fall,Community Colleges,Mohawk Valley,4024,3125,,
2014,Fall,Community Colleges,Monroe,9374,5961,,
2014,Fall,Community Colleges,Nassau,13541,8833,,
2014,Fall,Community Colleges,Niagara County,3994,2484,,
2014,Fall,Community Colleges,North Country,957,1005,,
2014,Fall,Community Colleges,Onondaga,6344,5927,,
2014,Fall,Community Colleges,Orange County,3323,3628,,
2014,Fall,Community Colleges,Rockland,4200,3321,,
2014,Fall,Community Colleges,Schenectady County,2562,3935,,
2014,Fall,Community Colleges,Suffolk County,14318,12282,,
2014,Fall,Community Colleges,Sullivan County,930,713,,
2014,Fall,Community Colleges,Tompkins Cortland,2328,3231,,
2014,Fall,Community Colleges,Ulster County,1584,2010,,
2014,Fall,Community Colleges,Westchester,7546,6370,,
2015,Fall,Doctoral Degree Granting Institutions,Albany,12223,684,2218,2053
2015,Fall,Doctoral Degree Granting Institutions,Alfred-Ceramics,551,16,57,3
2015,Fall,Doctoral Degree Granting Institutions,Binghamton,13054,437,2059,1363
2015,Fall,Doctoral Degree Granting Institutions,Buffalo Univ,18452,1501,6406,3449
2015,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5599,,1991,
2015,Fall,Doctoral Degree Granting Institutions,Downstate Medical,160,188,1141,369
2015,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1726,29,281,186
2015,Fall,Doctoral Degree Granting Institutions,Optometry,,,383,
2015,Fall,Doctoral Degree Granting Institutions,Stony Brook,15575,1108,5372,3105
2015,Fall,Doctoral Degree Granting Institutions,SUNY Poly,1741,324,165,549
2015,Fall,Doctoral Degree Granting Institutions,Upstate Medical,160,59,1081,180
2015,Fall,Comprehensive Colleges,Brockport,6353,716,373,719
2015,Fall,Comprehensive Colleges,Buffalo State,8137,1050,442,701
2015,Fall,Comprehensive Colleges,Cortland,6179,104,242,401
2015,Fall,Comprehensive Colleges,Empire State,4278,6529,81,990
2015,Fall,Comprehensive Colleges,Fredonia,4458,124,153,107
2015,Fall,Comprehensive Colleges,Geneseo,5447,119,50,60
2015,Fall,Comprehensive Colleges,New Paltz,6165,534,527,525
2015,Fall,Comprehensive Colleges,Old Westbury,3522,603,134,94
2015,Fall,Comprehensive Colleges,Oneonta,5754,96,122,147
2015,Fall,Comprehensive Colleges,Oswego,6778,326,308,525
2015,Fall,Comprehensive Colleges,Plattsburgh,4960,417,207,134
2015,Fall,Comprehensive Colleges,Potsdam,3504,110,190,100
2015,Fall,Comprehensive Colleges,Purchase,3678,399,87,5
2015,Fall,Technology Colleges,Alfred State,3378,321,,
2015,Fall,Technology Colleges,Canton,2641,499,,
2015,Fall,Technology Colleges,Cobleskill,2309,132,,
2015,Fall,Technology Colleges,Delhi,2460,971,1,20
2015,Fall,Technology Colleges,Farmingdale,6388,2260,,
2015,Fall,Technology Colleges,Maritime,1630,47,121,62
2015,Fall,Technology Colleges,Morrisville,2531,409,,
2015,Fall,Community Colleges,Adirondack,2294,1699,,
2015,Fall,Community Colleges,Broome,4265,1661,,
2015,Fall,Community Colleges,Cayuga County,1799,2385,,
2015,Fall,Community Colleges,Clinton,910,952,,
2015,Fall,Community Colleges,Columbia-Greene,711,1070,,
2015,Fall,Community Colleges,Corning,1929,2043,,
2015,Fall,Community Colleges,Dutchess,4284,5262,,
2015,Fall,Community Colleges,Erie,7931,4091,,
2015,Fall,Community Colleges,Fashion Institute,7409,1977,116,63
2015,Fall,Community Colleges,Finger Lakes,3003,3752,,
2015,Fall,Community Colleges,Fulton-Montgomery,1426,1125,,
2015,Fall,Community Colleges,Genesee,2846,3675,,
2015,Fall,Community Colleges,Herkimer County,1752,1268,,
2015,Fall,Community Colleges,Hudson Valley,6253,5543,,
2015,Fall,Community Colleges,Jamestown,2353,2473,,
2015,Fall,Community Colleges,Jefferson,2095,1653,,
2015,Fall,Community Colleges,Mohawk Valley,3632,3043,,
2015,Fall,Community Colleges,Monroe,8856,5730,,
2015,Fall,Community Colleges,Nassau,12956,8602,,
2015,Fall,Community Colleges,Niagara County,3610,2506,,
2015,Fall,Community Colleges,North Country,816,1067,,
2015,Fall,Community Colleges,Onondaga,5895,5991,,
2015,Fall,Community Colleges,Orange County,3226,3756,,
2015,Fall,Community Colleges,Rockland,4018,3162,,
2015,Fall,Community Colleges,Schenectady County,2234,3892,,
2015,Fall,Community Colleges,Suffolk County,14722,12107,,
2015,Fall,Community Colleges,Sullivan County,809,783,,
2015,Fall,Community Colleges,Tompkins Cortland,2179,904,,
2015,Fall,Community Colleges,Ulster County,1437,2031,,
2015,Fall,Community Colleges,Westchester,7062,5904,,
